slug,title,station,grouped,multi_group,source_surfaces,mode,raw_group_count,raw_sections,raw_kinds,detected_by_current,current_group_count,current_group_kinds,missed_by_current,program_url,sample_labels,fetch_error
formatofamiglialife,Formato famiglia Life,radio1,True,True,filters|tab_menu,group,3,puntate,group,True,3,group,False,https://www.raiplaysound.it/programmi/formatofamiglialife,Puntate 2022 | Puntate 2021 | Puntate 2020,
formula1,Formula 1,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/formula1,,
forrest,Forrest,radio1,True,True,filters|tab_menu,group,5,puntate,group,True,5,group,False,https://www.raiplaysound.it/programmi/forrest,Puntate 2023 | Puntate 2022 | Puntate 2021 | Episodi | Clip,
fossilinellarmadio,Fossili nell'armadio,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fossilinellarmadio,,
fotogrammidimondo,Fotogrammi di Mondo,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fotogrammidimondo,,
fotostorie,Fotostorie,radiotechete,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fotostorie,,
foxinabox,Fox in a box,radiolive,False,False,,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/foxinabox,,
fragments,Fragments,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fragments,,
frame-unacopertinalasuamusica,Frame - Una copertina la sua musica,radiolivenapoli,True,False,tab_menu,group,1,,group,True,1,group,False,https://www.raiplaysound.it/programmi/frame-unacopertinalasuamusica,Episodi,
francavalerieledonne-granvarieta1967,Franca Valeri e le donne - Gran Varietà 1967,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/francavalerieledonne-granvarieta1967,,
francescamorvillodonnadilegge,Francesca Morvillo donna di legge,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/francescamorvillodonnadilegge,,
frankbormanilmioviaggiosullaluna,Frank Borman: il mio viaggio sulla luna,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/frankbormanilmioviaggiosullaluna,,
